TEAM_NAME,PLAYER_NAME,POS,EST_RETURN,STATUS,COMMENT,DATA_DATE
Atlanta Hawks,Trae Young,PG,Feb 20,Day-To-Day,Feb 19: Young (Achilles) is probable for Thursday's game against the Magic.,2025-02-20
Atlanta Hawks,Larry Nance Jr.,PF,Apr 1,Out,Feb 12: Nance (knee) will have a non-displaced fracture in his right knee re-evaluated in six weeks.,2025-02-20
Atlanta Hawks,Vit Krejci,G,Mar 16,Out,Feb 12: The Hawks announced Wednesday that Krejci (back) will be re-evaluated in three to four weeks.,2025-02-20
Atlanta Hawks,Jalen Johnson,SF,Oct 1,Out,"Jan 29: Johnson has suffered a torn labrum in his left shoulder and will miss the rest of the 2024-25 season, NBA reporter Chris Haynes announced Wednesday.",2025-02-20
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports.",2025-02-20
Boston Celtics,Xavier Tillman,F,Feb 23,Out,"Feb 19: Tillman (knee) has been ruled out for Thursday's game against the 76ers, Taylor Snow of the Celtics' official site reports.",2025-02-20
Brooklyn Nets,Noah Clowney,F,Feb 26,Out,"Feb 19: Clowney (ankle) remains without a timetable for a return, Erik Slater of ClutchPoints.com reports.",2025-02-20
Brooklyn Nets,Cam Thomas,SG,Feb 22,Out,"Feb 19: Thomas (hamstring) has been cleared to participate in a 5-on-5 scrimmage at Thursday's practice, Erik Slater of ClutchPoints.com reports.",2025-02-20
Chicago Bulls,Patrick Williams,PF,Feb 22,Out,Feb 19: Williams (knee) will not play Thursday against the Knicks.,2025-02-20
Chicago Bulls,E.J. Liddell,F,Feb 22,Day-To-Day,Feb 14: Liddell (knee) has been ruled out for Monday's game against the Raptors.,2025-02-20
Cleveland Cavaliers,Dean Wade,PF,Feb 21,Out,Feb 19: Wade (knee) has been ruled out for Thursday's game against the Nets.,2025-02-20
Cleveland Cavaliers,Ty Jerome,SG,Feb 20,Out,Feb 19: Jerome (calf) is questionable for Thursday's game against the Nets.,2025-02-20
Cleveland Cavaliers,Isaac Okoro,SF,Feb 20,Out,Feb 19: Okoro (shoulder) has been listed as questionable for Thursday's game against the Nets.,2025-02-20
Cleveland Cavaliers,JT Thor,F,Feb 22,Out,"Feb 12: Thor posted 22 points (6-10 FG, 2-5 3Pt, 4-6 FT), seven rebounds and two assists in 35 minutes during Saturday's 110-104 G League loss to the Rio Grande Valley Vipers.",2025-02-20
Dallas Mavericks,Daniel Gafford,C,Apr 2,Out,"Feb 13: Gafford has been diagnosed with a Grade 3 right MCL sprain, which will keep him out of the lineup for the Mavericks for at least six weeks, Shams Charania of ESPN reports.",2025-02-20
Dallas Mavericks,Klay Thompson,SG,Feb 21,Out,"Feb 13: Thompson (foot) will not play Thursday against Miami, Christian Clark of The New Orleans Times-Picayune reports.",2025-02-20
Dallas Mavericks,P.J. Washington,PF,Feb 21,Out,"Feb 12: Washington (ankle) has been ruled out for Wednesday's game against the Warriors, Kevin Gray Jr. of AllDLLS.com reports.",2025-02-20
Dallas Mavericks,Dwight Powell,C,Feb 21,Out,"Feb 11: Powell (hip) will likely sit out until at least after the NBA All-Star break, with head coach Jason Kidd saying there's no update on the status of the veteran big man, Grant Afseth of DallasHoopsJournal.com reports.",2025-02-20
Dallas Mavericks,Anthony Davis,PF,Mar 3,Out,"Feb 9: Davis (groin) is expected to be sidelined for up to a month, Shams Charania of ESPN reports.",2025-02-20
Dallas Mavericks,Caleb Martin,SF,Feb 21,Out,"Feb 6: The Mavericks are optimistic that Martin (hip) will return to action in 2-3 weeks, Tim MacMahon of ESPN.com reports.",2025-02-20
