TEAM_NAME,PLAYER_NAME,POS,EST_RETURN,STATUS,COMMENT,DATA_DATE
Atlanta Hawks,Jacob Toppin,F,Apr 2,Out,Mar 31: Toppin has been ruled out for Tuesday's game against the Trail Blazers due to right calf soreness.,2025-04-02
Atlanta Hawks,Keaton Wallace,G,Apr 2,Out,"Mar 31: Wallace (shoulder) is out for Tuesday's game against Portland, Brad Rowland of the Locked On Podcast Network reports.",2025-04-02
Atlanta Hawks,Larry Nance Jr.,PF,Oct 1,Out,Mar 26: The Hawks announced Wednesday that Nance (knee) will miss the rest of the season while recovering from a right medial femoral condyle fracture.,2025-04-02
Atlanta Hawks,Clint Capela,C,Apr 15,Out,"Mar 21: Capela underwent an MRI on Monday that revealed a ligament injury in the fourth metacarpal of his left hand, and he is slated to be re-evaluated in 3-to-4 weeks, Lauren L. Williams of The Atlanta Journal-Constitution",2025-04-02
Atlanta Hawks,Jalen Johnson,SF,Oct 1,Out,"Jan 29: Johnson has suffered a torn labrum in his left shoulder and will miss the rest of the 2024-25 season, NBA reporter Chris Haynes announced Wednesday.",2025-04-02
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports.",2025-04-02
Boston Celtics,Al Horford,C,Apr 2,Day-To-Day,"Apr 1: Horford (toe) is doubtful for Wednesday's game against the Heat, Taylor Snow of the Celtics' official site reports.",2025-04-02
Boston Celtics,Jrue Holiday,PG,Apr 2,Day-To-Day,"Apr 1: Holiday (shoulder) has been listed as questionable for Wednesday's game against the Heat, Taylor Snow of the Celtics' official site reports.",2025-04-02
Boston Celtics,Kristaps Porzingis,C,Apr 2,Day-To-Day,"Apr 1: Porzingis is questionable for Wednesday's game against Miami due to return-from-illness reconditioning, Taylor Snow of the Celtics' official site reports.",2025-04-02
Boston Celtics,Jaylen Brown,SG,Apr 2,Day-To-Day,"Apr 1: Brown (knee) has been listed as questionable for Wednesday's game against the Heat,Taylor Snow of the Celtics' official site reports.",2025-04-02
Brooklyn Nets,Cameron Johnson,SF,Apr 3,Day-To-Day,"Mar 31: Johnson (back) will not play Monday against Dallas, Grant Afseth of DallasHoopsJournal.com reports.",2025-04-02
Brooklyn Nets,Noah Clowney,F,Apr 3,Day-To-Day,"Mar 31: Clowney (ankle), who has already been ruled out for Monday's game against Dallas, is in a walking boot and will be evaluated when the club returns to Brooklyn, Meghan Triplett of YES Network reports.",2025-04-02
Brooklyn Nets,Day'Ron Sharpe,C,Apr 6,Out,"Mar 31: Head coach Jordi Fernandez said Monday that Sharpe has been limited to stationary work and will have his right knee assessed this week, Meghan Triplett of YES Network reports.",2025-04-02
Brooklyn Nets,Cam Thomas,SG,Oct 1,Out,Mar 15: The Nets announced Saturday that Thomas has been diagnosed with a left hamstring and is expected to miss the remainder of 2024-25 campaign.,2025-04-02
Chicago Bulls,Jevon Carter,PG,Apr 4,Out,Apr 1: Carter (shoulder) won't play in Tuesday's game versus the Raptors.,2025-04-02
Chicago Bulls,Dalen Terry,F,Apr 4,Out,"Apr 1: Terry (calf) is out for Tuesday's game against the Raptors, K.C. Johnson of Chicago Sports Network reports.",2025-04-02
Chicago Bulls,Julian Phillips,F,Apr 4,Out,"Apr 1: Phillips is out for Tuesday's game against the Raptors with a right quadriceps contusion, K.C. Johnson of Chicago Sports Network reports.",2025-04-02
Chicago Bulls,Lonzo Ball,PG,Apr 4,Out,Apr 1: Ball (wrist) has been ruled out for Tuesday's game against the Raptors.,2025-04-02
Chicago Bulls,Tre Jones,PG,Apr 6,Out,"Mar 22: The Bulls announced Saturday that Jones has a left foot sprain and will be re-evaluated in two weeks, Chuck Swirsky of the Bulls Radio Network reports.",2025-04-02
Chicago Bulls,Ayo Dosunmu,SG,Oct 1,Out,Mar 2: The Bulls announced Sunday that Dosunmu will undergo season-ending surgery due to left shoulder instability.,2025-04-02
Cleveland Cavaliers,Ty Jerome,SG,Apr 4,Out,Apr 1: Jerome (knee) has been ruled out for Wednesday's game against the Knicks.,2025-04-02
Dallas Mavericks,Dereck Lively II,C,Apr 2,Out,Apr 1: Lively is questionable for Wednesday's game against Atlanta due to a right ankle stress fracture.,2025-04-02
Dallas Mavericks,Caleb Martin,SF,Apr 2,Day-To-Day,Apr 1: Martin (hip) is listed as probable for Wednesday's game against the Hawks.,2025-04-02
Dallas Mavericks,Anthony Davis,PF,Apr 2,Day-To-Day,Apr 1: Davis (adductor) is listed as probable for Wednesday's game against Atlanta.,2025-04-02
Dallas Mavericks,Dante Exum,G,Oct 1,Out,Mar 15: The Mavericks announced Saturday that Exum has been diagnosed with a left hand fracture and will be re-evaluated in four weeks.,2025-04-02
Dallas Mavericks,Olivier-Maxence Prosper,F,Oct 1,Out,Mar 13: Prosper has been ruled out for the remainder of the 2024-25 season after undergoing surgery to repair a right wrist injury.,2025-04-02
Dallas Mavericks,Kyrie Irving,PG,Feb 1,Out,"Mar 4: Irving (knee) suffered a torn ACL during Monday's loss to the Kings, Shams Charania of ESPN reports.",2025-04-02
Denver Nuggets,Michael Porter Jr.,SF,Apr 2,Out,"Apr 1: Porter (personal) has been ruled out for Tuesday's game against the Timberwolves, Katy Winge of Altitude Sports reports.",2025-04-02
Denver Nuggets,Jamal Murray,PG,Apr 2,Out,"Apr 1: Murray (hamstring) won't play in Tuesday's game versus the Timberwolves, Katy Winge of Altitude Sports reports.",2025-04-02
Denver Nuggets,Julian Strawther,G,Apr 9,Out,"Mar 4: The Nuggets announced Tuesday that Strawther will miss at least the next four weeks before having his knee injury re-evaluated, Romi Bean of CBS News Colorado reports.",2025-04-02
Denver Nuggets,DaRon Holmes II,C,Jul 2,Out,"Feb 23: Nuggets head coach Michael Malone said that Holmes (Achilles) was able to participate in portions of Wednesday's practice, Brendan Vogt of TheDNVR.com reports.",2025-04-02
Detroit Pistons,Tobias Harris,F,Apr 2,Day-To-Day,Apr 1: Harris (Achilles) is listed as probable for Wednesday's game against the Thunder.,2025-04-02
Detroit Pistons,Cade Cunningham,PG,Apr 2,Out,Apr 1: Cunningham (calf) is listed as doubtful for Wednesday's game against the Thunder.,2025-04-02
Detroit Pistons,Jaden Ivey,PG,May 1,Out,"Mar 13: The Pistons announced Thursday that Ivey (lower leg) has transitioned to weight-bearing strengthening exercises, running progression activity and stationary shooting. The 24-year-old's recovery progress will be updated in another four weeks.",2025-04-02
Golden State Warriors,Jonathan Kuminga,PF,Apr 3,Out,Apr 1: Kuminga (pelvis) has been listed as questionable for Tuesday's game against the Grizzlies.,2025-04-02
Golden State Warriors,Gary Payton II,SG,Apr 8,Out,"Mar 27: Payton suffered a torn ligament in his left thumb and ""will miss time"", ESPN's Shams Charania reports.",2025-04-02
