TEAM_NAME,PLAYER_NAME,POS,EST_RETURN,STATUS,COMMENT,DATA_DATE
Atlanta Hawks,Clint Capela,C,Mar 14,Out,"Mar 12: Capela has been ruled out for Wednesday's game against the Hornets due to personal reasons, Brad Rowland of the Locked On Podcast Network reports.",2025-03-13
Atlanta Hawks,Daeqwon Plowden,G,Mar 14,Out,Mar 6: Plowden didn't play in Sunday's 126-108 G League loss to the Rio Grande Valley Vipers due to a right elbow strain.,2025-03-13
Atlanta Hawks,Larry Nance Jr.,PF,Apr 1,Out,Feb 12: Nance (knee) will have a non-displaced fracture in his right knee re-evaluated in six weeks.,2025-03-13
Atlanta Hawks,Jalen Johnson,SF,Oct 1,Out,"Jan 29: Johnson has suffered a torn labrum in his left shoulder and will miss the rest of the 2024-25 season, NBA reporter Chris Haynes announced Wednesday.",2025-03-13
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports.",2025-03-13
Boston Celtics,Kristaps Porzingis,C,Mar 14,Out,"Mar 12: Porzingis (illness) has been ruled out for Wednesday's game against Oklahoma City, Keith Smith of Spotrac.com reports.",2025-03-13
Boston Celtics,Drew Peterson,F,Mar 12,Day-To-Day,"Mar 11: Peterson is in the starting lineup for Thursday's game against the 76ers, Justin Turpin of WEEI.com reports.",2025-03-13
Brooklyn Nets,Noah Clowney,F,Mar 13,Day-To-Day,"Mar 12: Clowney (ankle) has been listed as questionable for Thursday's game against the Bulls, C.J. Holmes of the New York Daily News reports.",2025-03-13
Chicago Bulls,Lonzo Ball,PG,Mar 13,Out,Mar 12: Ball (wrist) has been listed as doubtful for Thursday's game against the Nets.,2025-03-13
Chicago Bulls,Josh Giddey,SG,Mar 15,Out,"Mar 12: Bulls coach Billy Donovan said Giddey's right ankle sprain will keep him ""out for a little bit,"" K.C. Johnson of Chicago Sports Network reports.",2025-03-13
Chicago Bulls,Ayo Dosunmu,SG,Oct 1,Out,Mar 2: The Bulls announced Sunday that Dosunmu will undergo season-ending surgery due to left shoulder instability.,2025-03-13
Cleveland Cavaliers,Donovan Mitchell,SG,Mar 14,Day-To-Day,"Mar 12: Mitchell (groin) won't play in Tuesday's game versus the Nets, Sam Amico of HoopsWire.com reports.",2025-03-13
Cleveland Cavaliers,Ty Jerome,SG,Mar 14,Day-To-Day,Mar 12: Jerome will be rested Tuesday against the Nets.,2025-03-13
Cleveland Cavaliers,De'Andre Hunter,SF,Mar 14,Day-To-Day,"Mar 12: Hunter (illness) has been ruled out for Tuesday's game against Brooklyn, Sam Amico of HoopsWire.com reports.",2025-03-13
Dallas Mavericks,P.J. Washington,PF,Mar 14,Out,"Mar 12: Washington (ankle) has been ruled out for Wednesday's game against the Spurs, Christian Clark of The Athletic reports.",2025-03-13
Dallas Mavericks,Jaden Hardy,G,Mar 14,Out,Mar 11: Hardy (ankle) has been ruled out for Wednesday's game against the Spurs.,2025-03-13
Dallas Mavericks,Kai Jones,PF,Mar 14,Out,Mar 11: Jones (quadriceps) has been ruled out for Wednesday's game against the Spurs.,2025-03-13
Dallas Mavericks,Olivier-Maxence Prosper,F,Oct 1,Out,"Mar 7: The Mavericks suffer another blow to their frontcourt with Prosper expected to undergo season-ending surgery on his right wrist, Shams Charania of ESPN reports.",2025-03-13
Dallas Mavericks,Anthony Davis,PF,Apr 2,Out,"Mar 7: Davis (adductor) has been cleared for more on-court movements and is set to be evaluated weekly by the Mavericks moving forward, Mike Curtis of The Dallas Morning News reports.",2025-03-13
Dallas Mavericks,Daniel Gafford,C,Apr 2,Out,"Mar 7: The Mavericks announced Friday that Gafford (knee) is showing progress in his recovery and will be re-evaluated in two weeks, Mike Curtis of The Dallas Morning News reports.",2025-03-13
Dallas Mavericks,Dereck Lively II,C,Apr 2,Out,"Mar 7: The Mavericks announced Friday that Lively (ankle) has progressed to individual court week after a recent re-evaluation, Mike Curtis of The Dallas Morning News reports.",2025-03-13
Dallas Mavericks,Kyrie Irving,PG,Feb 1,Out,"Mar 4: Irving (knee) suffered a torn ACL during Monday's loss to the Kings, Shams Charania of ESPN reports.",2025-03-13
Denver Nuggets,Aaron Gordon,PF,Mar 14,Out,Mar 12: Gordon has been ruled out for Wednesday's game against Minnesota.,2025-03-13
Denver Nuggets,Julian Strawther,G,Apr 9,Out,"Mar 4: The Nuggets announced Tuesday that Strawther will miss at least the next four weeks before having his knee injury re-evaluated, Romi Bean of CBS News Colorado reports.",2025-03-13
Denver Nuggets,DaRon Holmes II,C,Jul 2,Out,"Feb 23: Nuggets head coach Michael Malone said that Holmes (Achilles) was able to participate in portions of Wednesday's practice, Brendan Vogt of TheDNVR.com reports.",2025-03-13
Detroit Pistons,Jaden Ivey,PG,Mar 23,Out,Feb 6: The Pistons announced Thursday that Ivey (lower leg) has transitioned to a walking boot and has begun light weight-bearing activity. The 22-year-old guard's progress will be updated in another four weeks as he continues to progress in the rehabilitation process.,2025-03-13
Golden State Warriors,Jonathan Kuminga,PF,Mar 13,Out,Mar 12: Kuminga (ankle) has been listed as probable for Thursday's game against the Kings.,2025-03-13
Golden State Warriors,Brandin Podziemski,G,Mar 15,Out,"Mar 12: Podziemski (back) will not play Thursday against the Kings, Danny Emerman of The San Jose Mercury News reports.",2025-03-13
Houston Rockets,Amen Thompson,F,Mar 23,Out,"Mar 9: Thompson will be out 10 to 14 days due to a left ankle sprain, Shams Charania of ESPN reports.",2025-03-13
Houston Rockets,Reed Sheppard,G,Apr 4,Out,"Mar 8: Head coach Ime Udoka told reporters Saturday that Sheppard fractured his right thumb and will be out for at least four weeks, Ben DuBose of USA Today reports.",2025-03-13
Indiana Pacers,Isaiah Jackson,SF,Oct 1,Out,"Nov 2: Jackson suffered a torn Achilles during Friday's game against the Pelicans, Shams Charania of ESPN reports.",2025-03-13
LA Clippers,Kawhi Leonard,SF,Mar 14,Out,"Mar 12: Leonard will be rested for Wednesday's game against Miami, Kevin Chouinard of the Hawks' official site reports.",2025-03-13
LA Clippers,Ben Simmons,PG,Mar 16,Out,"Mar 9: Simmons (knee) won't travel with the team for their three-game road trip, Tomer Azarly of ClutchPoints.com reports.",2025-03-13
LA Clippers,Norman Powell,G,Mar 16,Out,"Mar 4: The Clippers announced Tuesday that Powell has a right hamstring strain and will be re-evaluated in 10 days, Joey Linn of SI.com reports.",2025-03-13
LA Clippers,Seth Lundy,G,Mar 14,Out,"Mar 3: The Clippers signed Lundy (ankle) to a two-way contract Saturday, Shams Charania of ESPN reports.",2025-03-13
Los Angeles Lakers,Jaxson Hayes,C,Mar 14,Out,"Mar 12: Hayes (knee) has been ruled out for Thursday's game against the Bucks, Ryan Ward of LakersNation.com reports.",2025-03-13
Los Angeles Lakers,Luka Doncic,PG,Mar 13,Day-To-Day,Mar 12: Doncic (ankle) has been listed as questionable for Thursday's game against the Bucks.,2025-03-13
Los Angeles Lakers,LeBron James,SF,Mar 24,Out,"Mar 9: James is expected to miss at least 1-to-2 weeks due to a groin strain, Shams Charania of ESPN reports.",2025-03-13
Los Angeles Lakers,Rui Hachimura,PF,Mar 16,Out,"Mar 8: Hachimura (knee) will miss the Lakers' current road trip, head coach JJ Redick said, Mike Trudell of Spectrum SportsNet reports.",2025-03-13
Los Angeles Lakers,Maxi Kleber,PF,Apr 11,Out,"Feb 4: Kleber will have his surgically repaired right foot re-evaluated in eight weeks, Jovan Buha of The Athletic reports.",2025-03-13
Memphis Grizzlies,Zyon Pullin,G,Mar 17,Out,Mar 11: Pullin has been ruled out for Wednesday's game against the Jazz due to right patellar tendon surgery recovery.,2025-03-13
Memphis Grizzlies,Santi Aldama,PF,Mar 14,Out,Mar 11: Aldama (calf) will not play Wednesday against the Jazz.,2025-03-13
Memphis Grizzlies,Jaren Jackson Jr.,PF,Mar 17,Out,"Mar 7: Jackson (ankle), who has already been ruled out for Friday's game against Dallas, was on the floor for Friday's morning shootaround, Chris Herrington of The Daily Memphian reports.",2025-03-13
Miami Heat,Alec Burks,SG,Mar 14,Out,"Mar 12: Burks (back) has been ruled out for Wednesday's game against the Clippers, Anthony Chiang of the Miami Herald reports.",2025-03-13
Miami Heat,Nikola Jovic,F,Mar 27,Out,"Mar 4: Jovic won't require surgery to repair the fractured second metacarpal on his right hand, but his status for the rest of the season remains in question, Barry Jackson and Anthony Chiang of the Miami Herald reports.",2025-03-13
Miami Heat,Dru Smith,G,Oct 1,Out,Dec 27: The Heat announced Friday that Smith underwent successful surgery to repair a ruptured left Achilles tendon and will miss the remainder of the season.,2025-03-13
Milwaukee Bucks,Chris Livingston,F,Mar 13,Day-To-Day,Mar 12: Livingston (illness) has been listed as questionable for Thursday's game against the Lakers.,2025-03-13
Milwaukee Bucks,Tyler Smith,F,Mar 13,Day-To-Day,Mar 12: Smith (back) has been listed as doubtful for Thursday's game against the Lakers.,2025-03-13
Milwaukee Bucks,Damian Lillard,PG,Mar 13,Day-To-Day,Mar 12: Lillard is listed as probable for Thursday's game against the Lakers due to right groin soreness.,2025-03-13
Milwaukee Bucks,Giannis Antetokounmpo,PF,Mar 13,Day-To-Day,Mar 12: Antetokounmpo (calf) has been listed as probable for Thursday's game against the Lakers.,2025-03-13
New Orleans Pelicans,Yves Missi,C,Mar 13,Day-To-Day,Mar 12: Missi (ankle) has been listed as questionable for Thursday's game against the Magic.,2025-03-13
New Orleans Pelicans,Kelly Olynyk,PF,Mar 15,Out,Mar 12: Olynyk (personal) has been ruled out for Thursday's game against the Magic.,2025-03-13
New Orleans Pelicans,Brandon Boston,SG,Mar 28,Out,Mar 7: Boston was diagnosed with a left ankle stress reaction and will be re-evaluated in two weeks.,2025-03-13
New Orleans Pelicans,Herbert Jones,SF,Oct 1,Out,Feb 26: The Pelicans announced that Jones underwent successful surgery Feb. 12 to repair a torn rotator cuff in his right shoulder.,2025-03-13
New Orleans Pelicans,Dejounte Murray,SG,Oct 1,Out,"Jan 31: Shams Charania of ESPNMurray suffered a torn right Achilles tendon during Friday's game against the Celtics and will now miss the rest of the season, Shams Charania of ESPN.com reports.",2025-03-13
New York Knicks,Jalen Brunson,PG,Mar 28,Out,Mar 7: The Knicks have announced an update on Brunson's (ankle) will be given in two weeks.,2025-03-13
New York Knicks,Ariel Hukporti,C,Apr 6,Out,"Feb 27: Hukporti will miss the next four to six weeks for the Knicks after suffering a torn meniscus in his left knee, Shams Charania of ESPN reports.",2025-03-13
Oklahoma City Thunder,Alex Caruso,SG,Mar 15,Out,"Mar 12: Caruso (illness) has been ruled out for Wednesday's game against the Celtics, Jay King of The Athletic reports.",2025-03-13
