TEAM_NAME,PLAYER_NAME,POS,EST_RETURN,STATUS,COMMENT,DATA_DATE
Atlanta Hawks,Jalen Johnson,SF,Jan 25,Day-To-Day,"Jan 23: Johnson (shoulder) won't return to Thursday's game against Toronto, Blake Murphy of Sportsnet.ca reports.",2025-01-24
Atlanta Hawks,Clint Capela,C,Jan 25,Out,"Jan 23: Capela is out for Thursday's game versus the Raptors due to right knee soreness, Brad Rowland of the Locked On Podcast Network reports.",2025-01-24
Atlanta Hawks,Zaccharie Risacher,PF,Jan 30,Out,"Jan 21: The Hawks announced Tuesday that Risacher (adductor) will be re-evaluated in one week, Brad Rowland of the Locked On Podcast Network reports.",2025-01-24
Atlanta Hawks,Larry Nance Jr.,PF,Feb 20,Out,Jan 17: Nance (hand) will be re-evaluated in one week after undergoing hand surgery on Jan. 2.,2025-01-24
Atlanta Hawks,Cody Zeller,C,Jan 25,Out,"Jan 10: Zeller (personal) won't play in Saturday's game versus the Rockets, Brad Rowland of the Locked On Podcast Network reports.",2025-01-24
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports.",2025-01-24
Boston Celtics,Drew Peterson,F,Jan 25,Out,Jan 18: Peterson (concussion) isn't listed on the injury report for Wednesday's game against the Raptors.,2025-01-24
Brooklyn Nets,Ziaire Williams,F,Jan 25,Day-To-Day,"Jan 23: Williams (ankle) will not play Wednesday against the Suns, Erik Slater of ClutchPoints.com reports.",2025-01-24
Brooklyn Nets,D'Angelo Russell,G,Jan 25,Day-To-Day,"Jan 23: Russell (rest) will not play Wednesday against the Suns, Erik Slater of ClutchPoints.com reports.",2025-01-24
Brooklyn Nets,Cameron Johnson,SF,Jan 25,Day-To-Day,Jan 23: Johnson (ankle) will not play Wednesday against the Suns.,2025-01-24
Brooklyn Nets,Ben Simmons,PG,Jan 25,Out,Jan 22: Simmons (illness) will not play Thursday against the Suns.,2025-01-24
Brooklyn Nets,Trendon Watford,PF,Jan 25,Out,Jan 22: Watford (hamstring) remains out for Wednesday's game against the Suns.,2025-01-24
Brooklyn Nets,Bojan Bogdanovic,SF,Feb 1,Out,"Jan 22: Bogdanovic (foot) recently resumed taking part in on-court work for the first time this season, Brian Lewis of the New York Post reports.",2025-01-24
Brooklyn Nets,Cam Thomas,SG,Jan 25,Out,"Jan 22: Nets head coach Jordi Fernandez said Tuesday that Thomas (hamstring) has looked good while taking part in non-contact drills, but the 23-year-old guard remains without a clear target date for a return to the lineup, Erik Slater of ClutchPoints.com",2025-01-24
Brooklyn Nets,Maxwell Lewis,F,Feb 20,Out,"Jan 3: The Nets announced Friday that Lewis has suffered a fractured left tibia and his return timetable is to be determined, Erik Slater of ClutchPoints.com reports.",2025-01-24
Chicago Bulls,Coby White,PG,Jan 29,Out,Jan 23: White (ankle) has been ruled out for Thursday's game against Golden State.,2025-01-24
Chicago Bulls,Chris Duarte,SG,Jan 25,Out,Jan 23: Duarte (personal) is listed out for Thursday's game against the Warriors.,2025-01-24
Chicago Bulls,Torrey Craig,SF,Jan 27,Out,"Jan 13: Craig (lower leg) will be re-evaluated in two weeks as he continues to recover from his injury, K.C. Johnson of NBC Sports Chicago reports.",2025-01-24
Cleveland Cavaliers,Isaac Okoro,SF,Jan 25,Out,Jan 23: Okoro (shoulder) has been ruled out for Friday's game against the 76ers.,2025-01-24
Cleveland Cavaliers,Caris LeVert,SG,Jan 24,Day-To-Day,Jan 23: LeVert (wrist) has been listed as questionable for Friday's game against the 76ers.,2025-01-24
Cleveland Cavaliers,Evan Mobley,PF,Jan 25,Out,Jan 23: Mobley (calf) has been ruled out for Friday's game against the 76ers.,2025-01-24
Cleveland Cavaliers,Luke Travers,G,Jan 25,Out,"Dec 21: Travers signed a two-way contract with the Cavaliers on Wednesday, Adrian Wojnarowski of ESPN reports.",2025-01-24
Dallas Mavericks,Naji Marshall,SF,Jan 25,Day-To-Day,Jan 24: Marshall (illness) won't play in Thursday's game versus the Thunder.,2025-01-24
Dallas Mavericks,Dereck Lively II,C,Apr 2,Out,Jan 23: The Mavericks announced Wednesday that Lively will be re-evaluated in four weeks after being diagnosed with a right ankle stress fracture.,2025-01-24
Dallas Mavericks,Jaden Hardy,G,Jan 25,Out,Jan 23: Hardy (ankle) is out for Thursday's game versus the Thunder.,2025-01-24
Dallas Mavericks,Dwight Powell,C,Jan 25,Out,Jan 23: Powell (hip) is out for Thursday's game versus the Thunder.,2025-01-24
Dallas Mavericks,Klay Thompson,SG,Jan 25,Out,Jan 23: Thomspon (ankle) won't play in Thursday's game versus the Thunder.,2025-01-24
