TEAM_NAME,PLAYER_NAME,POS,EST_RETURN,STATUS,COMMENT,DATA_DATE
Atlanta Hawks,De'Andre Hunter,SF,Jan 15,Out,"Jan 14: Hunter has been ruled out of Tuesday's game against the Suns due to left foot soreness, Brad Rowland of the Locked On Podcast Network reports.",2025-01-15
Atlanta Hawks,Jalen Johnson,SF,Jan 15,Out,"Jan 13: Johnson (shoulder) has been ruled out for Tuesday's game against the Suns, Brad Rowland of the Locked On Podcast Network reports.",2025-01-15
Atlanta Hawks,Cody Zeller,C,Jan 25,Out,"Jan 10: Zeller (personal) won't play in Saturday's game versus the Rockets, Brad Rowland of the Locked On Podcast Network reports.",2025-01-15
Atlanta Hawks,Larry Nance Jr.,PF,Feb 20,Out,"Jan 3: Nance underwent surgery Thursday to repair the fractured fourth metacarpal bone in his right hand and will be re-evaluated in two weeks, Brad Rowland of the Locked On Podcast Network reports.",2025-01-15
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports.",2025-01-15
Brooklyn Nets,Nic Claxton,C,Jan 15,Out,"Jan 14: Claxton (hamstring) is out for Tuesday's game against the Trail Blazers, Brian Lewis of the New York Post reports.",2025-01-15
Brooklyn Nets,Trendon Watford,PF,Jan 15,Out,"Jan 13: Watford (hamstring) has been ruled out for Tuesday's matchup versus Portland, Brian Lewis of the New York Post reports.",2025-01-15
Brooklyn Nets,Bojan Bogdanovic,SF,Jan 15,Out,"Jan 13: Bogdanovic (foot) remains out for Tuesday's game against the Trail Blazers, Brian Lewis of the New York Post reports.",2025-01-15
Brooklyn Nets,Cam Thomas,SG,Jan 21,Out,"Jan 4: Thomas (hamstring) won't play in Saturday's game versus the 76ers, Adam Aaronson of PhillyVoice.com reports.",2025-01-15
Brooklyn Nets,Maxwell Lewis,F,Feb 20,Out,"Jan 3: The Nets announced Friday that Lewis has suffered a fractured left tibia and his return timetable is to be determined, Erik Slater of ClutchPoints.com reports.",2025-01-15
Chicago Bulls,Ayo Dosunmu,SG,Jan 15,Out,"Jan 14: Dosunmu (calf) won't play in Tuesday's game versus the Pelicans but is expected to play in Wednesday's contest against the Hawks, K.C. Johnson of NBC Sports Chicago reports.",2025-01-15
Chicago Bulls,Adama Sanogo,C,Jan 15,Out,Jan 13: Sanogo (knee) is out for Tuesday's game against the Pelicans.,2025-01-15
Chicago Bulls,Torrey Craig,SF,Jan 27,Out,"Jan 13: Craig (lower leg) will be re-evaluated in two weeks as he continues to recover from his injury, K.C. Johnson of NBC Sports Chicago reports.",2025-01-15
Chicago Bulls,Emanuel Miller,F,Jan 15,Day-To-Day,"Jan 13: The Bulls are signing Miller to a two-way contract Friday, Jamal Collier of ESPN.com reports.",2025-01-15
Cleveland Cavaliers,Emoni Bates,F,Jan 19,Day-To-Day,"Jan 15: Bates (knee) is out for Tuesday's game against the Pacers, Evan Dammarell of DownEuclid.com reports.",2025-01-15
Cleveland Cavaliers,Ty Jerome,SG,Jan 16,Out,"Jan 14: Jerome (illness) has been ruled out for Tuesday's game against Indiana, Spencer Davies of SI.com reports.",2025-01-15
Cleveland Cavaliers,Luke Travers,G,Jan 16,Out,"Dec 21: Travers signed a two-way contract with the Cavaliers on Wednesday, Adrian Wojnarowski of ESPN reports.",2025-01-15
Dallas Mavericks,Dereck Lively II,C,Jan 15,Day-To-Day,Jan 14: Lively is out for the remainder of  Tuesday's game versus the Nuggets due to a right ankle sprain. He will finish the contest with four points (2-3 FG) and one block in four minutes.,2025-01-15
