TEAM_NAME,PLAYER_NAME,POS,EST_RETURN,STATUS,COMMENT,DATA_DATE
Atlanta Hawks,Keaton Wallace,G,Mar 21,Day-To-Day,"Mar 19: Wallace had seven points (3-11 FG, 1-5 3Pt), two rebounds and six assists in 31 minutes during Monday's 132-123 victory over the 76ers.",2025-03-20
Atlanta Hawks,Clint Capela,C,Mar 22,Out,"Mar 17: Capela (personal) has been ruled out for Tuesday's game against the Hornets, Brad Rowland of the Locked On Podcast Network reports.",2025-03-20
Atlanta Hawks,Caris LeVert,SG,Mar 22,Out,"Mar 17: LeVert is out for Tuesday's game against the Hornets due to right knee soreness, Brad Rowland of the Locked On Podcast Network reports.",2025-03-20
Atlanta Hawks,Larry Nance Jr.,PF,Apr 1,Out,Feb 12: Nance (knee) will have a non-displaced fracture in his right knee re-evaluated in six weeks.,2025-03-20
Atlanta Hawks,Jalen Johnson,SF,Oct 1,Out,"Jan 29: Johnson has suffered a torn labrum in his left shoulder and will miss the rest of the 2024-25 season, NBA reporter Chris Haynes announced Wednesday.",2025-03-20
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out,"Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports.",2025-03-20
Boston Celtics,Xavier Tillman,F,Mar 23,Out,Mar 20: The Celtics assigned Tillman to the G League's Maine Celtics before he was later recalled to the NBA on Saturday.,2025-03-20
Boston Celtics,Jaylen Brown,SG,Mar 21,Day-To-Day,Mar 19: Brown (back) has been ruled out for Tuesday's game against the Nets.,2025-03-20
Brooklyn Nets,Cameron Johnson,SF,Mar 22,Out,Mar 19: Johnson will be rested Thursday against the Pacers.,2025-03-20
Brooklyn Nets,Cam Thomas,SG,Oct 1,Out,Mar 15: The Nets announced Saturday that Thomas has been diagnosed with a left hamstring and is expected to miss the remainder of 2024-25 campaign.,2025-03-20
Charlotte Hornets,Tidjane Salaun,F,Mar 21,Out,"Mar 20: The Hornets recalled Salaun (ankle) from the G League's Greensboro Swarm on Wednesday, but he's listed as out for Charlotte's game against the Knicks on Thursday.",2025-03-20
Chicago Bulls,Josh Giddey,SG,Mar 20,Day-To-Day,Mar 20: Giddey (ankle) has been listed as questionable for Thursday's game against the Kings.,2025-03-20
